State,alcoholConsumptionGallons
New Hampshire,4.76
Delaware,3.72
Nevada,3.46
North Dakota,3.26
Montana,3.11
Vermont,3.08
Wisconsin,2.98
Alaska,2.94
Idaho,2.92
South Dakota,2.87
Maine,2.81
Colorado,2.81
Minnesota,2.77
Oregon,2.75
Wyoming,2.67
Florida,2.65
Hawaii,2.63
Louisiana,2.59
Rhode Island,2.57
Massachusetts,2.57
Missouri,2.49
Connecticut,2.45
Iowa,2.4
Pennsylvania,2.36
Texas,2.34
New Jersey,2.34
Michigan,2.34
California,2.33
Illinois,2.32
Arizona,2.31
New Mexico,2.27
Washington,2.26
Nebraska,2.23
Mississippi,2.23
South Carolina,2.22
New York,2.22
Indiana,2.17
Maryland,2.15
Virginia,2.14
Tennessee,2.14
North Carolina,2.13
Ohio,2.04
Alabama,2.01
Kentucky,1.98
Georgia,1.94
Kansas,1.92
Oklahoma,1.88
Arkansas,1.8
West Virginia,1.76
Utah,1.34
